Task	DPR	Question	Model	Inference Time (s)
1	True	26	vicuna-7b-v1.5-16k	2.37
1	True	27	vicuna-7b-v1.5-16k	0.60
1	True	28	vicuna-7b-v1.5-16k	0.73
1	True	29	vicuna-7b-v1.5-16k	0.84
1	True	30	vicuna-7b-v1.5-16k	0.83
1	True	31	vicuna-7b-v1.5-16k	1.24
1	True	32	vicuna-7b-v1.5-16k	1.13
1	True	33	vicuna-7b-v1.5-16k	1.03
1	True	34	vicuna-7b-v1.5-16k	0.82
1	True	35	vicuna-7b-v1.5-16k	1.37
1	True	36	vicuna-7b-v1.5-16k	1.06
1	True	37	vicuna-7b-v1.5-16k	1.16
1	True	38	vicuna-7b-v1.5-16k	0.71
1	True	39	vicuna-7b-v1.5-16k	1.03
1	True	40	vicuna-7b-v1.5-16k	0.72
1	True	41	vicuna-7b-v1.5-16k	1.09
1	True	42	vicuna-7b-v1.5-16k	0.61
1	True	43	vicuna-7b-v1.5-16k	0.53
1	True	44	vicuna-7b-v1.5-16k	0.82
1	True	45	vicuna-7b-v1.5-16k	1.89
1	True	46	vicuna-7b-v1.5-16k	1.05
1	True	47	vicuna-7b-v1.5-16k	1.52
1	True	48	vicuna-7b-v1.5-16k	0.79
1	True	49	vicuna-7b-v1.5-16k	3.61
1	True	50	vicuna-7b-v1.5-16k	0.71
1	False	0	vicuna-7b-v1.5-16k	7.77
1	False	1	vicuna-7b-v1.5-16k	8.36
1	False	2	vicuna-7b-v1.5-16k	3.86
1	False	3	vicuna-7b-v1.5-16k	4.16
1	False	4	vicuna-7b-v1.5-16k	3.95
1	False	5	vicuna-7b-v1.5-16k	3.53
1	False	6	vicuna-7b-v1.5-16k	3.89
1	False	7	vicuna-7b-v1.5-16k	6.41
1	False	8	vicuna-7b-v1.5-16k	4.25
1	False	9	vicuna-7b-v1.5-16k	4.38
1	False	10	vicuna-7b-v1.5-16k	5.61
1	False	11	vicuna-7b-v1.5-16k	3.27
1	False	12	vicuna-7b-v1.5-16k	3.78
1	False	13	vicuna-7b-v1.5-16k	5.82
1	False	14	vicuna-7b-v1.5-16k	3.54
1	False	15	vicuna-7b-v1.5-16k	3.65
1	False	16	vicuna-7b-v1.5-16k	4.08
1	False	17	vicuna-7b-v1.5-16k	5.00
1	False	18	vicuna-7b-v1.5-16k	3.30
1	False	19	vicuna-7b-v1.5-16k	3.69
1	False	20	vicuna-7b-v1.5-16k	3.56
1	False	21	vicuna-7b-v1.5-16k	3.59
1	False	22	vicuna-7b-v1.5-16k	4.05
1	False	23	vicuna-7b-v1.5-16k	8.91
1	False	24	vicuna-7b-v1.5-16k	5.84
1	False	25	vicuna-7b-v1.5-16k	4.60
1	False	26	vicuna-7b-v1.5-16k	5.29
1	False	27	vicuna-7b-v1.5-16k	3.81
1	False	28	vicuna-7b-v1.5-16k	3.71
1	False	29	vicuna-7b-v1.5-16k	4.08
1	False	30	vicuna-7b-v1.5-16k	3.78
1	False	31	vicuna-7b-v1.5-16k	4.18
1	False	32	vicuna-7b-v1.5-16k	3.67
1	False	33	vicuna-7b-v1.5-16k	4.08
1	False	34	vicuna-7b-v1.5-16k	3.67
1	False	35	vicuna-7b-v1.5-16k	4.62
1	False	36	vicuna-7b-v1.5-16k	3.80
1	False	37	vicuna-7b-v1.5-16k	4.29
1	False	38	vicuna-7b-v1.5-16k	3.75
1	False	39	vicuna-7b-v1.5-16k	3.83
1	False	40	vicuna-7b-v1.5-16k	3.67
1	False	41	vicuna-7b-v1.5-16k	4.23
1	False	42	vicuna-7b-v1.5-16k	3.61
1	False	43	vicuna-7b-v1.5-16k	3.56
1	False	44	vicuna-7b-v1.5-16k	3.78
1	False	45	vicuna-7b-v1.5-16k	5.76
1	False	46	vicuna-7b-v1.5-16k	4.63
1	False	47	vicuna-7b-v1.5-16k	4.63
1	False	48	vicuna-7b-v1.5-16k	6.98
1	False	49	vicuna-7b-v1.5-16k	3.44
1	False	50	vicuna-7b-v1.5-16k	3.72
